FERENCE_ANDREW,	59,	1312,	1,	15,	9,	71,	105,	178,	2.4,	35.7,	1.92,	3.34,	7.16,	89.37,	2.61,	2.23,	54.0,	2.82,	2.64,	28.7,	31.4,	39.9,	-1;
FINGER_JEFF,	72,	1436,	8,	11,	6,	93,	130,	192,	11.9,	16.4,	2.80,	2.88,	10.69,	90.13,	2.74,	2.32,	54.1,	2.61,	2.50,	30.0,	32.8,	37.2,	-1;
FISTRIC_MARK,	37,	471,	0,	2,	0,	17,	27,	39,	0.0,	11.8,	2.16,	2.29,	8.21,	90.48,	2.98,	2.46,	54.9,	2.55,	2.52,	33.2,	26.8,	39.9,	-1;
FITZPATRICK_RORY,	19,	240,	0,	1,	0,	10,	13,	20,	0.0,	25.0,	1.00,	3.74,	4.26,	88.19,	3.02,	2.47,	55.0,	2.58,	2.54,	29.4,	30.3,	40.3,	-1;
FOOTE_ADAM,	75,	1753,	1,	14,	3,	66,	96,	139,	1.9,	26.9,	1.78,	2.67,	7.51,	91.66,	2.76,	2.39,	53.5,	3.01,	2.55,	19.7,	41.1,	39.3,	-1;
FOSTER_KURTIS,	56,	918,	7,	12,	7,	118,	163,	234,	14.0,	24.0,	3.27,	2.48,	10.22,	90.62,	2.67,	2.38,	52.8,	2.52,	2.57,	41.3,	25.2,	33.5,	-1;
GERVAIS_BRUNO,	60,	1198,	0,	13,	8,	59,	84,	141,	0.0,	33.3,	1.95,	2.45,	7.10,	92.05,	2.65,	2.89,	47.9,	2.82,	2.60,	26.0,	35.0,	39.1,	-1;
GILBERT_TOM,	82,	1819,	13,	21,	6,	98,	133,	209,	15.3,	24.7,	2.80,	3.00,	10.33,	90.79,	2.73,	2.76,	49.8,	2.73,	2.49,	29.7,	33.7,	36.6,	-1;
GILL_HAL,	81,	1618,	3,	21,	6,	86,	127,	171,	5.2,	36.2,	2.15,	3.63,	8.90,	88.86,	2.89,	2.73,	51.5,	2.83,	2.58,	23.2,	38.3,	38.5,	-1;
GIRARDI_DAN,	82,	1738,	10,	18,	9,	147,	203,	306,	13.5,	24.3,	2.55,	2.31,	8.11,	90.33,	2.45,	2.14,	53.3,	2.77,	2.64,	34.5,	26.0,	39.5,	-1;
GLEASON_TIM,	79,	1473,	3,	16,	9,	97,	143,	202,	5.3,	28.1,	2.32,	3.06,	8.42,	89.89,	3.24,	2.82,	53.5,	2.80,	2.67,	24.7,	35.4,	39.9,	-1;
GONCHAR_SERGEI,	78,	2019,	12,	53,	23,	173,	264,	370,	9.4,	41.7,	3.77,	2.44,	12.28,	91.78,	2.44,	2.68,	47.7,	2.82,	2.60,	31.6,	31.9,	36.5,	-1;
GORGES_JOSH,	62,	1011,	0,	9,	3,	41,	68,	93,	0.0,	29.0,	1.84,	2.14,	7.58,	92.70,	3.35,	2.55,	56.7,	2.69,	2.63,	24.1,	32.4,	43.6,	-1;
GREBESHKOV_DENIS,	71,	1197,	3,	14,	6,	34,	60,	102,	4.6,	21.5,	3.26,	2.81,	12.08,	89.72,	2.54,	2.86,	47.1,	2.61,	2.49,	33.1,	30.5,	36.5,	-1;
GREEN_MIKE,	81,	1911,	18,	36,	17,	226,	323,	457,	15.8,	31.6,	3.58,	2.23,	9.79,	90.35,	2.63,	2.94,	47.3,	2.71,	2.69,	40.3,	21.3,	38.4,	-1;
GREENE_ANDY,	59,	1149,	2,	8,	6,	50,	75,	121,	5.3,	21.1,	1.98,	2.14,	7.08,	91.88,	2.47,	2.32,	51.5,	2.72,	2.64,	31.6,	26.3,	42.2,	-1;
GREENE_MATT,	46,	768,	0,	1,	0,	28,	53,	82,	0.0,	5.0,	1.56,	3.04,	7.30,	91.20,	2.84,	2.88,	49.7,	2.67,	2.49,	26.7,	36.4,	36.9,	-1;
GROSSMANN_NICKLAS,	62,	964,	0,	7,	2,	34,	48,	77,	0.0,	17.9,	2.43,	2.43,	10.54,	91.22,	3.13,	2.47,	56.0,	2.70,	2.49,	25.8,	34.5,	39.7,	-1;
HAINSEY_RON,	78,	1759,	8,	24,	14,	161,	240,	371,	10.5,	31.6,	2.59,	2.25,	8.04,	90.61,	2.28,	2.56,	47.1,	2.67,	2.59,	38.6,	25.0,	36.4,	-1;
HALE_DAVID,	58,	805,	0,	2,	0,	35,	59,	87,	0.0,	8.3,	1.79,	2.31,	6.94,	91.32,	2.76,	2.73,	50.3,	2.55,	2.53,	30.6,	30.7,	38.7,	-1;
HAMHUIS_DAN,	80,	1818,	4,	23,	7,	127,	171,	264,	5.6,	31.9,	2.38,	3.10,	8.75,	90.04,	2.81,	2.52,	52.8,	2.88,	2.49,	23.1,	35.8,	41.1,	-1;
HAMRLIK_ROMAN,	77,	1781,	5,	21,	12,	128,	176,	257,	6.4,	26.9,	2.63,	2.73,	9.51,	91.37,	3.44,	2.31,	59.8,	2.76,	2.65,	25.9,	34.9,	39.1,	-1;
HANNAN_SCOTT,	82,	1859,	2,	19,	7,	79,	112,	148,	3.0,	28.8,	2.13,	3.19,	8.85,	89.31,	3.08,	2.19,	58.4,	2.68,	2.53,	24.6,	36.5,	39.0,	-1;
HARROLD_PETER,	25,	409,	2,	3,	0,	16,	20,	35,	11.1,	16.7,	2.64,	2.20,	9.68,	91.48,	2.99,	3.03,	49.6,	2.57,	2.45,	32.4,	25.2,	42.5,	-1;
HATCHER_DERIAN,	44,	926,	2,	5,	2,	27,	35,	58,	5.7,	14.3,	2.27,	3.43,	8.77,	91.40,	3.23,	2.44,	56.9,	2.77,	2.63,	19.5,	41.8,	38.8,	-1;
HAVELID_NICLAS,	81,	1660,	1,	13,	5,	54,	71,	97,	1.4,	17.8,	2.64,	3.87,	12.27,	89.98,	3.03,	2.58,	54.0,	2.94,	2.60,	21.0,	40.7,	38.2,	-1;
HEDICAN_BRET,	65,	1249,	2,	14,	4,	79,	102,	151,	3.1,	21.9,	3.07,	2.93,	9.26,	91.34,	3.05,	2.83,	51.8,	2.84,	2.64,	29.7,	29.0,	41.4,	-1;
HEJDA_JAN,	81,	1709,	0,	13,	4,	71,	101,	163,	0.0,	20.6,	2.21,	2.60,	9.00,	91.59,	2.31,	2.46,	48.4,	3.01,	2.52,	19.1,	40.3,	40.6,	-1;
HENDRY_JORDAN,	40,	688,	1,	3,	0,	32,	41,	55,	4.0,	12.0,	2.18,	2.79,	9.65,	91.49,	2.81,	2.70,	51.0,	2.65,	2.45,	24.8,	34.8,	40.5,	-1;
HILL_SEAN,	34,	516,	2,	7,	2,	18,	26,	42,	11.1,	38.9,	2.09,	3.60,	9.42,	89.49,	2.69,	2.34,	53.4,	2.55,	2.50,	24.9,	35.3,	39.9,	-1;
HJALMARSSON_NIKLAS,	13,	177,	0,	1,	1,	5,	10,	13,	0.0,	25.0,	1.36,	2.03,	5.80,	91.78,	2.94,	2.61,	52.9,	2.51,	2.45,	33.1,	32.5,	34.3,	-1;
HNIDY_SHANE,	76,	1066,	2,	6,	3,	49,	74,	113,	6.9,	20.7,	1.63,	2.31,	6.02,	92.13,	2.39,	2.36,	50.3,	2.65,	2.62,	31.2,	28.1,	40.8,	-1;
HUNWICK_MATT,	13,	137,	0,	1,	1,	6,	9,	11,	0.0,	16.7,	2.62,	2.62,	10.53,	93.10,	2.57,	2.41,	51.6,	2.61,	2.72,	24.8,	34.3,	41.0,	-1;
HUSKINS_KENT,	76,	1221,	4,	15,	7,	46,	72,	116,	8.3,	31.2,	2.36,	1.52,	9.27,	94.15,	2.73,	2.38,	53.4,	2.56,	2.60,	32.1,	31.1,	36.8,	-1;
JACKMAN_BARRET,	78,	1746,	2,	14,	6,	80,	112,	164,	3.4,	24.1,	1.99,	2.95,	7.82,	89.68,	2.62,	2.53,	50.8,	2.76,	2.53,	23.0,	37.0,	40.0,	-1;
JANIK_DOUG,	61,	568,	1,	3,	2,	23,	36,	61,	6.2,	18.8,	1.69,	2.21,	6.78,	91.89,	2.45,	3.17,	43.6,	2.66,	2.64,	28.9,	32.3,	38.8,	-1;
JOHANSSON_MAGNUS,	45,	708,	0,	14,	4,	37,	52,	86,	0.0,	48.3,	2.46,	2.46,	7.18,	91.05,	2.85,	2.58,	52.5,	2.58,	2.68,	39.6,	25.0,	35.4,	-1;
JOHNSON_AARON,	30,	415,	0,	2,	0,	16,	22,	46,	0.0,	9.5,	3.03,	2.45,	10.61,	91.28,	2.20,	2.70,	44.9,	2.56,	2.58,	33.0,	26.1,	41.0,	-1;
JOHNSON_ERIK,	69,	1252,	5,	28,	13,	105,	152,	224,	7.8,	43.8,	3.06,	2.39,	9.97,	89.75,	2.44,	2.73,	47.1,	2.57,	2.53,	37.9,	23.4,	38.7,	-1;
JOHNSON_JACK,	74,	1604,	3,	8,	2,	81,	113,	176,	5.3,	14.0,	2.13,	3.44,	8.95,	90.85,	2.94,	3.07,	48.9,	2.78,	2.46,	25.0,	36.1,	38.9,	-1;
JOHNSSON_KIM,	79,	1850,	4,	22,	11,	86,	134,	192,	5.3,	29.3,	2.43,	2.66,	10.09,	91.38,	2.80,	2.40,	53.9,	2.80,	2.53,	22.9,	40.6,	36.5,	-1;
JONES_MATT,	45,	655,	0,	2,	0,	25,	39,	48,	0.0,	12.5,	1.46,	3.48,	6.06,	90.08,	2.60,	2.48,	51.2,	2.61,	2.47,	20.8,	41.2,	38.0,	-1;
JONES_RANDY,	71,	1375,	5,	26,	11,	103,	144,	239,	6.8,	35.6,	3.19,	2.84,	10.99,	91.19,	2.82,	2.60,	52.1,	2.67,	2.61,	27.0,	32.8,	40.2,	-1;
JOVANOVSKI_ED,	79,	1776,	12,	39,	14,	233,	309,	447,	13.5,	43.8,	3.01,	2.13,	8.65,	91.88,	2.39,	2.88,	45.3,	2.54,	2.52,	42.8,	21.6,	35.6,	-1;
JURCINA_MILAN,	74,	1234,	1,	8,	2,	58,	85,	142,	2.3,	18.2,	2.14,	2.77,	8.54,	90.76,	2.88,	2.72,	51.5,	2.75,	2.66,	26.0,	34.9,	39.1,	-1;
KABERLE_FRANTISEK,	79,	1355,	0,	21,	10,	87,	109,	183,	0.0,	31.3,	2.96,	2.48,	9.01,	90.23,	3.25,	2.83,	53.4,	2.58,	2.67,	34.2,	26.3,	39.5,	-1;
KABERLE_TOMAS,	82,	2035,	8,	45,	18,	155,	195,	265,	7.1,	40.2,	3.30,	2.62,	9.33,	89.59,	2.86,	3.36,	46.0,	2.74,	2.64,	36.9,	23.9,	39.2,	-1;
KALININ_DMITRI,	46,	796,	1,	7,	3,	60,	85,	114,	4.0,	28.0,	1.88,	2.41,	6.74,	91.30,	3.28,	2.65,	55.3,	2.58,	2.66,	32.6,	26.3,	41.1,	-1;
KEITH_DUNCAN,	82,	2095,	12,	20,	14,	148,	186,	265,	12.8,	21.3,	2.69,	2.83,	10.17,	90.73,	3.11,	2.75,	53.1,	2.82,	2.48,	25.5,	34.6,	39.9,	-1;
KLEE_KEN,	72,	1443,	1,	9,	3,	56,	75,	126,	2.0,	18.4,	2.04,	3.16,	8.61,	90.31,	2.55,	3.08,	45.3,	2.81,	2.60,	22.5,	41.8,	35.7,	-1;
KLEIN_KEVIN,	13,	187,	0,	2,	2,	14,	20,	25,	0.0,	50.0,	1.28,	2.56,	5.63,	89.61,	2.41,	2.68,	47.4,	2.51,	2.66,	32.2,	33.9,	33.9,	-1;
KLEMM_JON,	22,	240,	0,	0,	0,	6,	8,	10,	0.0,	0.0,	1.49,	4.98,	10.17,	88.44,	2.55,	2.87,	47.0,	2.91,	2.30,	18.8,	37.9,	43.3,	-1;
KLESLA_ROSTISLAV,	82,	1903,	6,	12,	3,	130,	178,	247,	8.1,	16.2,	2.33,	2.49,	8.59,	91.16,	2.42,	2.46,	49.6,	2.83,	2.56,	25.2,	37.4,	37.4,	-1;
KOISTINEN_VILLE,	48,	806,	4,	13,	7,	60,	89,	131,	7.3,	23.6,	4.09,	1.79,	12.33,	93.44,	2.80,	2.67,	51.1,	2.48,	2.56,	39.5,	22.0,	38.5,	-1;
KOMISAREK_MIKE,	75,	1586,	4,	13,	7,	75,	116,	203,	6.2,	20.3,	2.42,	3.29,	9.92,	91.06,	3.93,	2.21,	64.0,	2.89,	2.65,	20.9,	40.1,	38.9,	-1;
KRAJICEK_LUKAS,	39,	707,	2,	9,	6,	28,	47,	66,	5.7,	25.7,	2.97,	2.54,	11.29,	90.29,	2.40,	2.34,	50.7,	2.51,	2.56,	32.6,	29.5,	37.9,	-1;
KRONWALL_NIKLAS,	65,	1370,	7,	28,	13,	108,	146,	210,	9.3,	37.3,	3.28,	1.88,	9.39,	90.77,	2.69,	2.22,	54.8,	2.68,	2.58,	35.9,	23.9,	40.2,	-1;
KRONWALL_STAFFAN,	18,	200,	0,	0,	0,	9,	13,	16,	0.0,	0.0,	2.10,	3.29,	7.45,	90.52,	2.67,	2.88,	48.2,	2.72,	2.56,	30.1,	33.8,	36.0,	-1;
KUBA_FILIP,	75,	1871,	6,	25,	9,	113,	172,	235,	5.9,	24.8,	3.24,	3.43,	11.07,	87.23,	2.57,	3.03,	45.9,	2.86,	2.61,	30.9,	29.9,	39.1,	-1;
KUBINA_PAVEL,	72,	1720,	11,	29,	19,	136,	193,	278,	11.5,	30.2,	3.35,	3.24,	10.98,	89.10,	2.76,	2.80,	49.6,	2.82,	2.62,	31.1,	30.8,	38.2,	-1;
KUKKONEN_LASSE,	53,	834,	1,	4,	0,	31,	48,	71,	3.2,	12.9,	2.23,	2.59,	9.20,	92.34,	3.03,	2.70,	52.9,	2.65,	2.62,	23.8,	40.5,	35.7,	-1;
