CLARK_CHRIS       74      878:21      7     13      7    105    134    169     21.2     39.4     2.25     2.60     8.21    91.16     2.86     2.78     50.7     2.71     2.62   29.0   33.5   37.5 -1
CLARKSON_DAVID       46      664:21     11     13      7    106    147    179     32.4     38.2     3.07     1.90    10.83    92.05     2.46     2.25     52.2     2.62     2.67   40.6   20.5   38.9 -1
CLEARY_DAN       64     1102:15     15     19     12    140    179    225     25.0     31.7     3.27     2.78     9.09    90.59     2.65     2.37     52.8     2.86     2.63   39.0   26.1   35.0 -1
CLOWE_RYANE       82     1407:53     18     38     15    189    245    329     23.7     50.0     3.24     2.43     8.78    91.52     3.11     2.52     55.3     2.75     2.65   35.7   27.9   36.5 -1
CLUNE_RICH       14      101:58      0      2      1      7      8      9      0.0    100.0     1.18     0.59     4.88    97.67     2.51     2.58     49.3     2.57     2.65   30.1   35.5   34.4 -1
CLUTTERBUCK_CAL       74     1055:56     13      8      5    136    195    246     41.9     25.8     1.76     2.67     7.36    91.03     2.52     2.88     46.7     2.79     2.62   26.0   31.4   42.5 -1
COGLIANO_ANDREW       81     1150:42     10     18     10    137    184    237     20.0     36.0     2.61     2.92     9.07    91.57     2.43     3.27     42.6     2.68     2.58   31.9   32.0   36.1 -1
COLE_ERIK       40      654:48     11      5      4     81    118    147     45.8     20.8     2.20     3.12     7.21    90.17     3.25     2.82     53.5     2.83     2.65   34.9   28.1   37.0 -1
COMEAU_BLAKE       60      923:39     17     18     13    134    164    214     38.6     40.9     2.86     3.57    10.26    89.15     2.52     2.86     46.8     2.74     2.61   27.5   38.5   34.0 -1
COMRIE_MIKE       42      601:45     13      8      5     95    115    142     41.9     25.8     3.09     2.49     9.31    90.27     2.44     3.29     42.6     2.63     2.66   39.8   28.0   32.2 -1
CONNER_CHRIS        8       76:45      2      1      1     11     14     20     66.7     33.3     2.35     3.13     6.67    89.47     2.82     2.76     50.5     2.56     2.58   35.5   22.6   41.9 -1
CONNOLLY_TIM       73     1359:01     17     48     26    206    265    335     20.2     57.1     3.71     2.30    10.12    92.57     2.61     2.53     50.7     2.80     2.66   44.4   24.6   31.0 -1
CONROY_CRAIG       63      854:41      3     12      9     52     73    100     15.0     60.0     1.40     2.81     5.35    91.40     2.53     2.39     51.4     2.86     2.64   25.8   42.9   31.2 -1
COOKE_MATT       79     1168:09     15     15      9    105    151    194     26.3     26.3     2.93     2.72    10.04    91.02     2.79     2.80     49.9     2.80     2.61   24.0   39.4   36.5 -1
COUTURE_LOGAN       25      256:29      5      4      3     42     57     69     41.7     33.3     2.81     1.40     9.02    95.12     2.89     2.41     54.6     2.69     2.64   34.9   26.1   39.0 -1
CROMBEEN_BJ       79     1033:09      7      8      5    120    162    199     26.9     30.8     1.51     2.56     6.57    92.43     2.75     2.58     51.6     2.86     2.60   21.3   47.2   31.5 -1
CROSBY_SIDNEY       81     1778:11     51     58     36    298    401    498     37.0     42.0     4.66     2.67    11.56    88.73     2.08     2.84     42.2     2.71     2.65   45.3   23.9   30.8 -1
CULLEN_MATT       81     1519:14     16     32     15    195    273    371     20.3     40.5     3.12     3.08     9.92    89.72     2.76     2.86     49.1     2.77     2.68   36.9   31.3   31.8 -1
DARCHE_MATHIEU       29      314:29      5      5      3     43     53     62     29.4     29.4     3.24     2.29    10.49    92.26     2.31     2.50     48.0     2.59     2.58   35.2   22.1   42.7 -1
DATSYUK_PAVEL       80     1627:50     27     43     26    203    274    369     28.1     44.8     3.54     1.84     9.48    92.13     2.65     3.10     46.1     2.84     2.66   42.0   27.1   30.9 -1
DAVIS_PATRICK        8      100:52      1      0      0      8      9     13    100.0      0.0     0.59     1.78     3.85    94.34     2.12     2.48     46.0     2.69     2.64   27.5   37.5   35.0 -1
DAWES_NIGEL       66      959:43     14     18     13     96    146    195     28.0     36.0     3.13     2.19    10.44    90.74     2.30     2.47     48.2     2.83     2.65   37.7   28.3   34.0 -1
